对话组ID,说话人,立绘ID,步骤,选项,句序,类型,文本,条件,备注
30502,visitor,wolf_平静,1,,,Line,这里的灯光不够稳定，影响我思考集团的重要决策。,,
,,,,,,,,,
30502,player,goat_平静,2,1,,Branch,同意,,
30502,player,goat_平静,2,1,1,Line,好的，我去看看咩。,,
30502,player,goat_平静,2,1,2,Action,StartMinigame,,
,,,,,,,,,
30502,player,goat_平静,2,2,,Branch,暂不同意,,
30502,player,goat_平静,2,2,1,Line,不好意思咩，现在有些忙碌，暂时没有办法满足您的需求咩。,,
30502,player,goat_平静,2,2,2,Action,Reject,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
30503,visitor,wolf_平静,1,,,Line,,,
,,,,,,,,,
30503,player,goat_平静,2,1,,Branch,同意,,
30503,player,goat_平静,2,1,1,Line,好的，我去看看咩。,,
30503,player,goat_平静,2,1,2,Action,StartMinigame,,
,,,,,,,,,
30503,player,goat_平静,2,2,,Branch,暂不同意,,
30503,player,goat_平静,2,2,1,Line,不好意思咩，现在有些忙碌，暂时没有办法满足您的需求咩。,,
30503,player,goat_平静,2,2,2,Action,Reject,,
,,,,,,,,,
40501,visitor,wolf_伤心,1,,,Line,看来这里的服务标准，还有提升空间。,,
,,,,,,,,,
40502,visitor,wolf_平静,1,,,Line,嗯，勉强可以接受。,,
,,,,,,,,,
40503,visitor,wolf_平静,1,,,Line,还不错，比我预想的像样一些。,,
,,,,,,,,,
40504,visitor,wolf_开心,1,,,Line,很好，这才是我需要的效率。,,
,,,,,,,,,
50501,visitor,wolf_开心,1,,,Line,咖啡呢？我只喝现磨的。,,
,,,,,,,,,
50502,visitor,wolf_开心,1,,,Line,不要叫我挑剔，我只是标准比较清楚。,,
,,,,,,,,,
50503,visitor,wolf_开心,1,,,Line,我不要你觉得，我要我觉得,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10601,visitor,ox_平静,1,,,Line,您好，我叫牛小顿，想要住宿。,,
10601,player,goat_平静,2,,,Line,欢迎您来到Master House，我来看看还有没有空闲房间。,,
,,,,,,,,,
,,,,,,,,,
10601,player,goat_平静,3,1,,Branch,接待,CanAcceptGuest,
10601,visitor,ox_平静,3,1,1,Line,我没有什么特殊需求，安静就好。,,
10601,player,goat_平静,3,1,2,Line,已经帮您安排好了，这是房卡。,,
10601,visitor,ox_平静,3,1,3,Line,谢谢。（四处张望）,,
10601,visitor,ox_平静,3,1,4,Action,Accept,,
,,,,,,,,,
10601,player,goat_平静,3,2,,Branch,暂不接待,,
10601,player,goat_伤心,3,2,1,Line,非常抱歉，目前没有能够满足您要求的房间。,,
10601,visitor,ox_伤心,3,2,2,Line,好的，不过一旦有，请立马通知我哞。,,
10601,visitor,ox_平静,3,2,3,Action,Reject,,
,,,,,,,,,
10601,player,goat_平静,3,3,,Branch,（先想一下）,,
10601,player,goat_平静,3,3,1,Line,您稍等下，我帮您找找合适的房间。,,
10601,visitor,ox_平静,3,3,2,Line,好的，等待过程中我顺便观察下民宿布局。,,
,,,,,,,,,
20601,visitor,ox_平静,1,,,Line,找到合适的房间了哞？,,
,,,,,,,,,
20601,,,2,1,,Branch,接待,CanAcceptGuest,
20601,player,goat_平静,2,1,1,Line,已经帮您安排好了，这是房卡咩。,,
20601,visitor,ox_平静,2,1,2,Line,嗯嗯，那我先去放行李。,,
20601,,,2,1,3,Action,Accept,,
20601,,,2,2,,Branch,暂不接待,,
20601,visitor,ox_平静,2,2,1,Line,抱歉啊，没有找到合适的房间。,,
20601,visitor,ox_平静,2,2,2,Line,好的，不过一旦有，请立马通知我哞。,,
20601,,,2,2,3,Action,Reject,,
20601,,,2,3,,Branch,（再想一会）,,
20601,player,goat_平静,2,3,1,Line,还在找，辛苦再等待下。,,
20601,visitor,ox_平静,2,3,2,Line,好的，等待过程中我顺便观察下民宿布局。,,
,,,,,,,,,
,,,,,,,,,
30601,visitor,ox_平静,1,,,Line,如果方便的话，房间里能加一张小桌子吗？我需要整理下线索。,,
,,,,,,,,,
30601,player,goat_平静,2,1,,Branch,同意,,
30601,player,goat_平静,2,1,1,Line,好的，我去找找咩，安排好了跟您说~,,
30601,visitor,ox_平静,2,1,2,Line,嗯嗯，我会等你的。,,
30601,,,2,1,3,Action,Accept,,
,,,,,,,,,
30601,player,goat_平静,2,2,,Branch,暂不同意,,
30601,player,goat_平静,2,2,1,Line,不好意思咩，现在有些忙碌，暂时没有办法满足您的需求咩。,,
30601,,,2,2,2,Action,Reject,,
,,,,,,,,,
30601,player,goat_平静,2,3,,Branch,已完成,RoomHasNeedFurniture,
30601,player,goat_开心,2,3,1,Line,已经按照你的要求布置好房间啦~,,
30601,visitor,ox_开心,2,3,2,Line,非常感谢，我相信用张桌子一定能更快理清线索。,,
30601,narration,,2,3,3,Line,完成服务需求奖励【货币+300，声望+10】,,
30601,,,2,3,4,Action,CompleteNeed(perfect),,
,,,,,,,,,
,,,,,,,,,
30602,visitor,ox_平静,1,,,Line,晚上台灯总是一闪一闪的，帮忙修一下好吗？,,
,,,,,,,,,
30602,player,goat_平静,2,1,,Branch,同意,,
30602,player,goat_平静,2,1,1,Line,好的，我去看看咩。,,
30602,player,goat_平静,2,1,2,Action,StartMinigame,,
,,,,,,,,,
30602,player,goat_平静,2,2,,Branch,暂不同意,,
30602,player,goat_平静,2,2,1,Line,不好意思咩，现在有些忙碌，暂时没有办法满足您的需求咩。,,
30602,player,goat_平静,2,2,2,Action,Reject,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
30603,visitor,ox_平静,1,,,Line,整理线索好困，有咖啡提供吗？,,
,,,,,,,,,
30603,player,goat_平静,2,1,,Branch,同意,,
30603,player,goat_平静,2,1,1,Line,好的，我去看看咩。,,
30603,player,goat_平静,2,1,2,Action,StartMinigame,,
,,,,,,,,,
30603,player,goat_平静,2,2,,Branch,暂不同意,,
30603,player,goat_平静,2,2,1,Line,不好意思咩，现在有些忙碌，暂时没有办法满足您的需求咩。,,
30603,player,goat_平静,2,2,2,Action,Reject,,
,,,,,,,,,
,,,,,,,,,
40601,visitor,ox_伤心,1,,,Line,算了……可能是我要求太多了。,,
,,,,,,,,,
40602,visitor,ox_平静,1,,,Line,嗯，还行吧，谢谢你。,,
,,,,,,,,,
40603,visitor,ox_平静,1,,,Line,挺好的，比我原本想的还妥帖些。,,
,,,,,,,,,
40604,visitor,ox_开心,1,,,Line,太完美了，我会记住这地方的。,,
,,,,,,,,,
50601,visitor,ox_开心,1,,,Line,这里真不错啊哞。,,
,,,,,,,,,
50602,visitor,ox_开心,1,,,Line,难得能这么安静地待一会儿。,,
,,,,,,,,,
50603,visitor,ox_开心,1,,,Line,下次路过，我还来。,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
50004,visitor,cat_平静,1,,,Line,我要离开这里回去工作了，这几天住的很舒适。,,
50004,player,goat_平静,2,,,Line,嘿嘿，能让警长住得安心就太好咩。,,
50004,visitor,cat_平静,3,,,Line,嗯。环境安静，服务规范。下次来这里，我会优先考虑这里。,,
50004,player,goat_平静,4,,,Line,欢迎您随时再来咩！,,
50004,narration,,5,,,Line,完成{访客名}服务，获得住宿费【货币+320】,,
50004,,,5,,,Action,Leave,,
,,,,,,,,,
50104,visitor,leopard_平静,1,,,Line,老板老板！我休息得超好！今天训练感觉都能多跑两圈！,,
50104,player,goat_平静,2,,,Line,太好啦，豹冲冲恢复精神了咩。,,
50104,visitor,leopard_平静,3,,,Line,房间也亮亮的，床也舒服，连做梦都梦见自己打出全垒打！,,
50104,player,goat_平静,4,,,Line,那一定是好兆头咩！,,
50104,visitor,leopard_平静,5,,,Line,嘿嘿，下次比赛前我还要来这里住！我先走啦，拜拜！,,
50104,narration,,6,,,Line,完成{访客名}服务，获得住宿费【货币+320】,,
50104,,,6,,,Action,Leave,,
,,,,,,,,,
,,,,,,,,,
50204,visitor,cheetah_平静,1,,,Line,老板，谢谢您这几天的照顾。,,
50204,player,goat_平静,2,,,Line,不客气咩，队长住得还舒服吗？,,
50204,visitor,cheetah_平静,3,,,Line,很安静，也没有被豹冲冲打扰。休息质量比我预期更好。,,
50204,player,goat_平静,4,,,Line,能帮上忙就太好咩。,,
50204,visitor,cheetah_平静,5,,,Line,之后如果有比赛安排在附近，我会再联系您。再见。,,
50204,narration,,6,,,Line,完成{访客名}服务，获得住宿费【货币+320】,,
50204,,,6,,,Action,Leave,,
,,,,,,,,,
50304,visitor,yak_平静,1,,,Line,您好，我来退房。,,
50304,player,goat_平静,2,,,Line,好的咩，牛莱老师住得还满意吗？,,
50304,visitor,yak_平静,3,,,Line,很满意。这里很舒适，像一段处理得恰到好处的休止符。,,
50304,player,goat_平静,4,,,Line,哇，听起来很优雅咩。,,
50304,visitor,yak_平静,5,,,Line,服务也很得体。你没有说多余的话，这点尤其值得称赞。,,
50304,player,goat_平静,6,,,Line,谢谢老师认可咩！,,
50304,narration,,7,,,Line,完成{访客名}服务，获得住宿费【货币+320】,,
50304,,,7,,,Action,Leave,,
,,,,,,,,,
50404,visitor,rabbit_平静,1,,,Line,老板，我来退房啦~这里很安静，休息得很舒服~,,
50404,player,goat_平静,2,,,Line,嘿嘿，能让偶像满意太开心咩。,,
50404,visitor,rabbit_平静,3,,,Line,谢谢你，下次行程经过这里，我会偷偷再来的。,,
50404,player,goat_平静,4,,,Line,我会欢迎你的咩！（小声）,,
50404,visitor,rabbit_平静,5,,,Line,那我先走啦，拜拜~,,
50404,narration,,6,,,Line,完成{访客名}服务，获得住宿费【货币+320】,,
50404,,,6,,,Action,Leave,,
,,,,,,,,,
50504,visitor,wolf_平静,1,,,Line,小羊老板，我来退房。,,
50504,player,goat_平静,2,,,Line,好的咩，总裁这次入住还满意吗？,,
50504,visitor,wolf_平静,3,,,Line,勉强超过了我的预期。房间整洁，响应也算及时。,,
50504,player,goat_平静,4,,,Line,谢谢您的认可咩！,,
50504,visitor,wolf_平静,5,,,Line,继续保持这个标准。下次我来，希望你们已经准备好了的总裁套房。,,
50504,player,goat_平静,6,,,Line,我会努力准备咩！,,
50504,narration,,7,,,Line,完成{访客名}服务，获得住宿费【货币+320】,,
50504,,,7,,,Action,Leave,,
,,,,,,,,,
50604,visitor,ox_平静,1,,,Line,您好，我来办理退房。,,
50604,player,goat_平静,2,,,Line,好的咩，牛小顿先生这次住得怎么样？,,
50604,visitor,ox_平静,3,,,Line,很安静，布局也合理。昨晚我整理线索时，思路顺了很多哞。,,
50604,player,goat_平静,4,,,Line,那真是太好啦咩，随时欢迎您再来~,,
50604,visitor,ox_平静,5,,,Line,嗯，我先继续去追查下一条线索了。,,
50604,narration,,6,,,Line,完成{访客名}服务，获得住宿费【货币+320】,,
50604,,,6,,,Action,Leave,,
